,sensor [Auto],,,,,
,Oxygen,Pressure,Temperature,Humidity,ppO2,
04/23/23 10:52:14.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:16.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:18.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:20.520,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:22.519,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:24.518,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:26.517,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:28.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:30.524,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:32.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:34.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:36.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:38.520,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:40.519,"30360","101","19.7","43.7","35.1",
04/23/23 10:52:42.518,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:44.517,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:46.526,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:48.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:50.524,"30250","101","19.7","43.6","35.1",
04/23/23 10:52:52.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:54.522,"30360","101","19.7","43.7","35.1",
04/23/23 10:52:56.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:52:58.520,"30250","101","19.7","43.7","35.1",
04/23/23 10:53:00.519,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:02.518,"30250","101","19.7","43.7","35.1",
04/23/23 10:53:04.527,"30250","101","19.7","43.7","35.1",
04/23/23 10:53:06.525,"30360","101","19.7","43.7","35.1",
04/23/23 10:53:08.524,"30360","101","19.7","43.7","35.1",
04/23/23 10:53:10.523,"30360","101","19.7","43.7","35.1",
04/23/23 10:53:12.522,"30360","101","19.7","43.7","35.1",
04/23/23 10:53:14.521,"30360","101","19.7","43.7","35.1",
04/23/23 10:53:16.520,"30360","101","19.7","43.7","35.1",
04/23/23 10:53:18.519,"30360","101","19.7","43.7","35.1",
04/23/23 10:53:20.518,"30360","101","19.7","43.6","35.1",
04/23/23 10:53:22.527,"30360","101","19.7","43.6","35.1",
04/23/23 10:53:24.526,"30360","101","19.7","43.6","35.1",
04/23/23 10:53:26.525,"30360","101","19.7","43.6","35.1",
04/23/23 10:53:28.524,"30360","101","19.7","43.6","35.1",
04/23/23 10:53:30.523,"30360","101","19.7","43.6","35.1",
04/23/23 10:53:32.522,"30360","101","19.7","43.6","35.1",
04/23/23 10:53:34.521,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:36.520,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:38.519,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:40.528,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:42.526,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:44.525,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:46.524,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:48.523,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:50.522,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:52.521,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:54.520,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:56.519,"30250","101","19.7","43.6","35.1",
04/23/23 10:53:58.528,"30250","101","19.7","43.6","35.1",
04/23/23 10:54:00.527,"30250","101","19.7","43.6","35.1",
04/23/23 10:54:02.526,"30250","101","19.7","43.6","35.1",
04/23/23 10:54:04.525,"30250","101","19.7","43.6","35.1",
04/23/23 10:54:06.524,"30250","101","19.7","43.6","35.1",
04/23/23 10:54:08.523,"30250","101","19.7","43.6","35.1",
04/23/23 10:54:10.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:12.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:14.520,"30250","101","19.7","43.6","35.1",
04/23/23 10:54:16.519,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:18.528,"30250","101","19.7","43.6","35.1",
04/23/23 10:54:20.526,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:22.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:24.524,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:26.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:28.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:30.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:32.520,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:34.519,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:36.528,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:38.527,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:40.526,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:42.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:44.524,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:46.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:48.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:50.521,"30360","101","19.7","43.7","35.1",
04/23/23 10:54:52.520,"30360","101","19.7","43.7","35.1",
04/23/23 10:54:54.529,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:56.527,"30250","101","19.7","43.7","35.1",
04/23/23 10:54:58.526,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:00.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:02.524,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:04.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:06.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:08.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:10.520,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:12.529,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:14.528,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:16.527,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:18.526,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:20.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:22.524,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:24.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:26.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:28.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:30.530,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:32.529,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:34.527,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:36.526,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:38.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:40.524,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:42.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:44.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:46.521,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:48.740,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:50.529,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:52.528,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:54.527,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:56.526,"30250","101","19.7","43.7","35.1",
04/23/23 10:55:58.525,"30250","101","19.7","43.7","35.1",
04/23/23 10:56:00.524,"30250","101","19.7","43.7","35.1",
04/23/23 10:56:02.523,"30250","101","19.7","43.7","35.1",
04/23/23 10:56:04.522,"30250","101","19.7","43.7","35.1",
04/23/23 10:56:06.531,"30250","101","19.7","43.7","35.1",
04/23/23 10:56:08.530,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:10.528,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:12.527,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:14.526,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:16.525,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:18.524,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:20.523,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:22.522,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:24.531,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:26.530,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:28.529,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:30.528,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:32.527,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:34.526,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:36.525,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:38.524,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:40.523,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:42.532,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:44.531,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:46.530,"30250","101","19.7","43.7","35.1",
04/23/23 10:56:48.528,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:50.527,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:52.526,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:54.525,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:56.524,"30250","101","19.7","43.8","35.1",
04/23/23 10:56:58.523,"30250","101","19.7","43.8","35.1",
04/23/23 10:57:00.532,"30250","101","19.7","43.8","35.1",
04/23/23 10:57:02.531,"30250","101","19.7","43.8","35.1",
04/23/23 10:57:04.530,"30250","101","19.7","43.8","35.1",
04/23/23 10:57:06.529,"30250","101","19.7","43.7","35.1",
04/23/23 10:57:08.528,"30250","101","19.7","43.7","35.1",
04/23/23 10:57:10.527,"30250","101","19.7","43.7","35.1",
