XY
	CURVE1 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]
-9.318e-001	-1.033e-004		
-9.358e-001	-1.023e-004		
-9.398e-001	-1.028e-004		
-9.438e-001	-1.020e-004		
-9.478e-001	-1.020e-004		
-9.518e-001	-1.013e-004		
-9.558e-001	-1.002e-004		
-9.598e-001	-1.002e-004		
-9.638e-001	-9.954e-005		
-9.678e-001	-9.994e-005		
-9.718e-001	-9.924e-005		
-9.758e-001	-9.807e-005		
-9.797e-001	-9.806e-005		
-9.838e-001	-9.717e-005		
-9.878e-001	-9.741e-005		
-9.918e-001	-9.665e-005		
-9.957e-001	-9.570e-005		
-9.998e-001	-9.619e-005		
-9.958e-001	-9.365e-005		
-9.918e-001	-9.253e-005		
-9.878e-001	-9.123e-005		
-9.839e-001	-9.024e-005		
-9.797e-001	-9.046e-005		
-9.758e-001	-8.879e-005		
-9.718e-001	-8.831e-005		
-9.678e-001	-8.770e-005		
-9.638e-001	-8.688e-005		
-9.598e-001	-8.666e-005		
-9.558e-001	-8.515e-005		
-9.518e-001	-8.503e-005		
-9.478e-001	-8.483e-005		
-9.439e-001	-8.388e-005		
-9.398e-001	-8.382e-005		
-9.358e-001	-8.256e-005		
-9.318e-001	-8.280e-005		
-9.279e-001	-8.253e-005		
-9.238e-001	-8.153e-005		
-9.199e-001	-8.255e-005		
-9.158e-001	-8.440e-005		
-9.119e-001	-8.413e-005		
-9.078e-001	-8.243e-005		
-9.039e-001	-8.083e-005		
-8.998e-001	-8.098e-005		
-8.959e-001	-7.988e-005		
-8.918e-001	-7.959e-005		
-8.879e-001	-7.886e-005		
-8.839e-001	-7.805e-005		
-8.799e-001	-7.844e-005		
-8.758e-001	-7.744e-005		
-8.719e-001	-7.738e-005		
-8.678e-001	-7.689e-005		
-8.639e-001	-7.608e-005		
-8.599e-001	-7.639e-005		
-8.560e-001	-7.529e-005		
-8.518e-001	-7.536e-005		
-8.479e-001	-7.500e-005		
-8.438e-001	-7.437e-005		
-8.399e-001	-7.457e-005		
-8.359e-001	-7.344e-005		
-8.319e-001	-7.360e-005		
