XY
	CURVE (PWRDISCHARGE_#1.DTA)
-2.637e-002	4.999e-002
-2.640e-002	5.000e-002
-2.643e-002	4.996e-002
-2.647e-002	4.999e-002
-2.650e-002	4.994e-002
-2.653e-002	4.991e-002
-2.656e-002	4.997e-002
-2.659e-002	5.000e-002
-2.662e-002	4.998e-002
-2.665e-002	4.996e-002
-2.668e-002	4.996e-002
-2.671e-002	4.995e-002
-2.674e-002	4.998e-002
-2.677e-002	4.996e-002
-2.680e-002	4.995e-002
-2.683e-002	4.995e-002
-2.686e-002	4.996e-002
-2.689e-002	4.995e-002
-2.692e-002	4.996e-002
-2.695e-002	4.998e-002
-2.698e-002	4.997e-002
-2.700e-002	4.998e-002
-2.703e-002	4.995e-002
-2.706e-002	4.996e-002
-2.709e-002	4.996e-002
-2.712e-002	4.997e-002
-2.714e-002	4.997e-002
-2.717e-002	4.994e-002
-2.720e-002	4.994e-002
-2.722e-002	4.994e-002
-2.725e-002	4.996e-002
-2.727e-002	4.995e-002
-2.730e-002	4.996e-002
-2.732e-002	4.997e-002
-2.735e-002	4.998e-002
-2.737e-002	4.997e-002
-2.739e-002	4.996e-002
-2.742e-002	4.996e-002
-2.744e-002	4.994e-002
-2.746e-002	4.996e-002
-2.749e-002	4.999e-002
-2.751e-002	4.997e-002
-2.753e-002	4.994e-002
-2.755e-002	4.994e-002
-2.758e-002	4.997e-002
-2.760e-002	4.999e-002
-2.762e-002	4.999e-002
-2.764e-002	5.001e-002
-2.766e-002	4.998e-002
-2.769e-002	4.995e-002
-2.771e-002	4.991e-002
-2.773e-002	4.996e-002
-2.775e-002	4.995e-002
-2.777e-002	4.997e-002
-2.779e-002	4.997e-002
-2.781e-002	4.998e-002
-2.783e-002	4.998e-002
-2.785e-002	4.997e-002
-2.787e-002	4.997e-002
-2.789e-002	4.995e-002
-2.791e-002	4.997e-002
-2.793e-002	4.996e-002
-2.795e-002	4.996e-002
-2.797e-002	4.996e-002
-2.799e-002	4.995e-002
-2.801e-002	4.995e-002
-2.802e-002	4.995e-002
-2.804e-002	4.994e-002
-2.806e-002	4.995e-002
-2.807e-002	4.998e-002
-2.809e-002	4.997e-002
-2.811e-002	4.996e-002
-2.812e-002	4.995e-002
-2.814e-002	4.996e-002
-2.815e-002	4.996e-002
-2.817e-002	4.996e-002
-2.818e-002	4.996e-002
-2.820e-002	4.996e-002
-2.821e-002	4.996e-002
-2.822e-002	4.997e-002
-2.824e-002	4.998e-002
-2.825e-002	4.997e-002
-2.827e-002	4.996e-002
-2.828e-002	4.996e-002
-2.829e-002	4.997e-002
-2.831e-002	4.996e-002
-2.832e-002	4.997e-002
-2.833e-002	4.999e-002
-2.835e-002	4.998e-002
-2.836e-002	4.996e-002
-2.837e-002	4.996e-002
-2.839e-002	4.997e-002
-2.840e-002	4.997e-002
-2.841e-002	4.997e-002
-2.843e-002	4.996e-002
-2.844e-002	4.997e-002
-2.845e-002	4.996e-002
-2.846e-002	4.994e-002
-2.847e-002	4.994e-002
-2.848e-002	4.995e-002
-2.849e-002	4.998e-002
-2.851e-002	4.999e-002
-2.852e-002	4.998e-002
-2.853e-002	4.997e-002
-2.854e-002	4.996e-002
-2.855e-002	4.996e-002
-2.856e-002	4.997e-002
-2.857e-002	4.996e-002
-2.858e-002	4.997e-002
-2.859e-002	4.998e-002
-2.860e-002	4.996e-002
-2.861e-002	4.997e-002
-2.862e-002	4.996e-002
-2.862e-002	4.996e-002
-2.863e-002	4.996e-002
-2.864e-002	4.998e-002
-2.865e-002	4.997e-002
-2.866e-002	4.997e-002
-2.867e-002	4.997e-002
-2.868e-002	4.997e-002
-2.869e-002	4.996e-002
-2.869e-002	4.997e-002
-2.870e-002	4.997e-002
-2.871e-002	4.997e-002
-2.872e-002	4.997e-002
-2.873e-002	4.997e-002
-2.873e-002	4.997e-002
-2.874e-002	4.997e-002
-2.875e-002	4.997e-002
-2.876e-002	4.997e-002
-2.876e-002	4.996e-002
-2.877e-002	4.997e-002
-2.878e-002	4.997e-002
-2.879e-002	4.997e-002
-2.879e-002	4.997e-002
-2.880e-002	4.997e-002
-2.880e-002	4.997e-002
-2.881e-002	4.997e-002
-2.882e-002	4.997e-002
-2.882e-002	4.997e-002
-2.883e-002	4.997e-002
-2.883e-002	4.997e-002
-2.884e-002	4.997e-002
-2.885e-002	4.997e-002
-2.885e-002	4.997e-002
-2.886e-002	4.997e-002
-2.886e-002	4.997e-002
